org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
australians for northern development and economic vision,unconvinced of agw,australia,oceania,david mcsweeney,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,hans mende,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,john meyer,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,robert milburne,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,julian mills,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,hugh morgan,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,dennis morris,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,paul mulder,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ken perry,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ian plimer,members,person,unconvinced of agw,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,greg poland,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,mark read,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,graham reveleigh,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,bianca rinehart,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,michael ruane,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,tony sage,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,david saxelby,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,stephen scammell,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,bruce scott,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,ken stapleton,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,peter tierney,members,person,,,,,,,
