individual,nr organisation membership ,edges organisations total,edges organisations international,edges organisations inter-continental
james mccormick,2,1,1,1
arthur seldon,2,1,1,1
bryan caplan,2,1,1,1
barbara kenney,2,1,0,0
bryan leyland,2,1,0,0
roger scruton,2,1,1,1
allan h. meltzer,2,1,0,0
dick cheney,2,1,0,0
james tooley,2,1,0,0
ronald coase,2,1,1,1
jan hayen,2,1,0,0
dominique lecourt,2,1,0,0
jan jambon,2,1,0,0
don nickles,2,1,0,0
jane orient,2,1,0,0
donald j. boudreaux,2,1,0,0
jane s. shaw,2,1,0,0
sander boon,2,1,0,0
jason clemens,2,1,1,0
sean gabb,2,1,0,0
jason mercier,2,1,0,0
sidney shindell,2,1,1,1
jason wright,2,1,0,0
stanley rothman,2,1,0,0
jay lehr,2,1,0,0
stephan thernstrom,2,1,0,0
jay p. greene,2,1,0,0
douglas carswell,2,1,1,1
jay sekulow,2,1,0,0
steve goreham,2,1,0,0
jean-thomas lesueur,2,1,0,0
dwight r. lee,2,1,0,0
jeffrey o. nelson,2,1,1,1
sven larson,2,1,0,0
candace crandall,2,1,0,0
theodore b. olson,2,1,0,0
candace de russy,2,1,0,0
thomas a. fuentes,2,1,0,0
jim cox,2,1,0,0
thomas g. west,2,1,0,0
jim sims,2,1,0,0
thomas knudsen,2,1,0,0
jiri schwarz,2,1,1,1
thompson ayodele,2,1,1,1
carden,2,1,0,0
bart jan spruyt,2,1,1,1
joanne nova,2,1,1,1
todd shepherd,2,1,0,0
carl helstrom,2,1,0,0
enrique ghersi,2,1,1,1
joe jackson,2,1,1,1
trent england,2,1,0,0
joel bucher,2,1,1,1
ewen stewart,2,1,0,0
johan norberg,2,1,1,1
viv forbes,2,1,0,0
john a. baden,2,1,1,1
floyd brown,2,1,0,0
john a. howard,2,1,0,0
forrest capie,2,1,0,0
carl oberg,2,1,0,0
werner niemegeers,2,1,0,0
allen dalton,2,1,0,0
william hazeltine,2,1,0,0
john c. whitehead,2,1,0,0
william l. armstrong,2,1,0,0
john cooper,2,1,0,0
frank gaffney,2,1,0,0
john dale dunn,2,1,0,0
miles weinberger,2,1,1,1
john davis,2,1,0,0
alan gottlieb,2,1,0,0
john droz,2,1,0,0
clint bolick,2,1,0,0
john engler,2,1,0,0
nan swift,2,1,0,0
john f. disinger,2,1,0,0
nell minow,2,1,0,0
john h. hinderaker,2,1,0,0
newton minow,2,1,0,0
carlo stagnaro,2,1,1,0
nicole le douarin,2,1,0,0
john locke foundation,2,1,1,1
nigel farage,2,1,1,0
caroline lucas,2,1,1,0
daniel e. troy,2,1,0,0
john mcrobert,2,1,1,1
north,2,1,1,1
john meredith,2,1,0,0
paolo pamini,2,1,0,0
john monks,2,1,0,0
pat michaels,2,1,0,0
alphonse crespo,2,1,1,0
patrick basham,2,1,1,1
john r. laplante,2,1,0,0
anthony trewavas,2,1,0,0
john schellnhuber,2,1,1,1
daniel r. simmons,2,1,0,0
john stone,2,1,0,0
paul bachman,2,1,0,0
john taylor,2,1,0,0
paul cliteur,2,1,1,1
john tillman,2,1,0,0
paul mccarthy,2,1,0,0
john w. sommer,2,1,0,0
darcy,2,1,0,0
cavaney,2,1,0,0
paul weyrich,2,1,0,0
jonathan powell,2,1,1,0
peter,2,1,1,0
jörg guido hülsmann,2,1,1,1
david a. keene,2,1,0,0
joseph f. johnston,2,1,0,0
peter ellis,2,1,0,0
journalist,2,1,1,0
david a. noebel,2,1,0,0
juergen b. donges,2,1,1,0
peter kurrild-klitgaard,2,1,1,1
chandran kukathas,2,1,1,1
ph,2,1,0,0
julie ann ponzi,2,1,0,0
philip foster,2,1,1,1
wolfgang müller,2,1,0,0
philipp bagus,2,1,1,1
charles anderson,2,1,0,0
philippe maystadt,2,1,0,0
yuri maltsev,2,1,0,0
david evans,2,1,1,1
charles b. blankart,2,1,1,0
david fand,2,1,0,0
karl socher,2,1,1,1
david flint,2,1,0,0
kate obenshain,2,1,0,0
david g. tuerck,2,1,0,0
kathleen teague rothschild,2,1,0,0
randal otoole,2,1,0,0
katie engdahl,2,1,0,0
alan gross,2,1,1,1
charles blankart,2,1,1,0
randy randol,2,1,0,0
ken blackwell,2,1,0,0
david h. padden,2,1,0,0
ken klukowski,2,1,0,0
renaud dozoul,2,1,0,0
ken perry,2,1,1,1
richard d. north,2,1,0,0
ken phillips,2,1,1,1
david m. stanley,2,1,0,0
charles g. koch,2,1,1,1
richard epstein,2,1,0,0
kenneth minogue,2,1,1,1
david mackinnon,2,1,0,0
kenneth w. starr,2,1,0,0
richard r. phillips,2,1,0,0
charles j. cooper,2,1,0,0
richard stroup,2,1,0,0
kfm,2,1,0,0
david r. burton,2,1,0,0
kim winkelaar,2,1,1,0
rob gordon,2,1,0,0
charles k. rowley,2,1,0,0
david schmidtz,2,1,0,0
kirby wilbur,2,1,0,0
david schnare,2,1,0,0
klaus l.e. kaiser,2,1,0,0
robert goldberg,2,1,0,0
kris alan mauren,2,1,0,0
robert h. nelson,2,1,0,0
kristina rasmussen,2,1,0,0
david strom,2,1,0,0
larry hart,2,1,0,0
robert l. sproull,2,1,0,0
larry p. arnn,2,1,0,0
robert luddy,2,1,0,0
amy oliver cooke,2,1,0,0
robert p. murphy,2,1,0,0
charles van eaton,2,1,0,0
robert skidelsky,2,1,1,1
lawrence a. kudlow,2,1,0,0
robert tollison,2,1,0,0
lawrence kadish,2,1,0,0
roderick t. long,2,1,0,0
lawrence reed,2,1,0,0
roger bowlin,2,1,0,0
charles w. jarvis,2,1,0,0
roger e. meiners,2,1,0,0
lee rotherham,2,1,0,0
roger l. mozingo,2,1,0,0
chester e. finn,2,1,0,0
dick armey,2,1,0,0
chiaki nishiyama,2,1,1,1
roger sedjo,2,1,0,0
leonard read,2,1,1,1
roger turner,2,1,0,0
leszek balcerowicz,2,1,1,0
dick taverne,2,1,1,1
lewis k. uhler,2,1,0,0
digby anderson,2,1,1,1
chris snowdon,2,1,0,0
dixy lee ray,2,1,0,0
chris tame,2,1,1,1
ross mckitrick,2,1,0,0
lisa wallace,2,1,0,0
rudi de kerpel,2,1,0,0
lloyd buchanan,2,1,0,0
don irvine,2,1,0,0
andrew p. morriss,2,1,0,0
ryan stowers,2,1,0,0
lord lawson,2,1,1,0
s. robert lichter,2,1,0,0
lord stoddart,2,1,0,0
sallie l. baliunas,2,1,1,1
lori roman,2,1,0,0
samuel gregg,2,1,1,0
lou sheldon,2,1,0,0
sarah basden,2,1,0,0
ludwig lindner,2,1,0,0
scott o. lilienfeld,2,1,0,0
